ScreenName,latitude,Longitude
__HeatOn__,51.4728444,-0.0727311
__NITISH,22.8045665,86.2028754
_akash_shukla,20.593684,78.96288
_BryanMay,43.3616211,-80.3144276
_iamami__,28.6139391,77.2090212
_kartikshah,19.0759837,72.8776559
_LeKido_,-22.95764,18.49041
_Lilysea,-25.274398,133.775136
_mstephenson88,52.7073029,-2.7553268
_samcorfield,35.86166,104.195397
_SarahHancock,-34.9284989,138.6007456
_Swapnilpatil,20.593684,78.96288
_tirakan,36.204824,138.252924
_Veeloo_,56.4906712,-4.2026458
_walknthewoods,38.9505225,-92.3467572
_WeAreScotland_,56.4906712,-4.2026458
_whyimskint,51.5073509,-0.1277583
_wti01,20.593684,78.96288
11Jaysharma,21.0971034,81.0302222
11thhourLiving,-33.8688197,151.2092955
1420kunal,19.0759837,72.8776559
1451994sharma,28.3670355,79.4304381
16x2is8,28.4594965,77.0266383
1asutoshmohanty,20.593684,78.96288
1GKh,57.6498476,-3.3168039
3d1kZen,-31.9505269,115.8604572
4IR_APPG,51.4994796,-0.1248094
7NewsSydney,-33.8688197,151.2092955
Aabekosar,30.375321,69.345116
aaj_alan,48.4758208,-81.3304953
Aap2India,20.593684,78.96288
AB_Delhi,28.6139391,77.2090212
AbaconProducts,-37.8136276,144.9630576
Abat_Ispulayev,48.019573,66.923684
abcadelaide,-34.9284989,138.6007456
abcpcnews,43.653226,-79.3831843
ABCRural,-37.8136276,144.9630576
ABCTropical,-21.1424956,149.1821469
abdirah10,55.378051,-3.435973
AbdiwaliUK,51.5073509,-0.1277583
abdulkmerchant,20.593684,78.96288
abdullahkhadam,33.1479849,73.7536695
ABFilmCast,53.9332706,-116.5765035
Abhas_Mittal,25.4358011,81.846311
abhiirich,22.572646,88.363895
abhinaw16,28.6139391,77.2090212
ABHISHEK1107199,30.7333148,76.7794179
ABHISHEK1789KUM,19.2183307,72.9780897
abhronag,33.8461815,75.0553971
abid1342,28.5355161,77.3910265
AbidAli8200655,31.4503662,73.1349605
AbidSiddiqui89,21.8974003,83.3949632
ablackoutprod,55.953252,-3.188267
AboriginalEng,44.2311717,-76.4859544
aboriginalmine,56.130366,-106.346771
abrighu,28.4594965,77.0266383
ACameronFOE,51.4496887,-2.5810698
AccurateCutting,52.30897,-1.940936
AcoservicesVzla,6.42375,-66.58973
ACTRA_Alberta,56.130366,-106.346771
adj4life72,52.1306607,-3.7837117
Aequitas_NEO,43.653226,-79.3831843
AerpulaVenkata,17.385044,78.486671
agavatar,19.0330488,73.0296625
agentdeclan,-33.8688197,151.2092955
AggarwalArbind,28.4089123,77.3177894
agpsteel,51.577076,0.178319
AhmadSahidah,6.1183964,100.3684595
AhujaMukesh,19.0759837,72.8776559
ahujasimran006,28.7040592,77.1024902
Ajay1504aks,28.4594965,77.0266383
ajaychaudhary_,21.1702401,72.8310607
AjayKushwaha_,25.5840419,83.5770202
ajbluebird7,-37.8136276,144.9630576
AjChaudhary11,23.022505,72.5713621
ajeetsingh213,20.593684,78.96288
AjitKumarmanu,20.593684,78.96288
ajjaiah,12.9743317,77.6076924
ajlongshanks,25.0700428,67.2847875
AKHTIARAGROKING,30.8164603,75.1717093
aksahu1475,22.8045665,86.2028754
